comment_id,sentiment_label,notes
'7663882000243458824,netral,"Cerita kebiasaan gigit jari anak, netral"
'7646299107599172373,netral,Nanya ketersediaan produk
'7579170881047773972,netral,Nanya takaran
'7554669550026507015,netral,Nanya kombinasi produk lain
'7569556961508950801,positif,Emoji senyum
'7626369869408289554,netral,"Nanya cara campur, anak nolak minum langsung"
'7669792187958199047,negatif,Keluhan sakit perut setelah minum
'7624017954578187026,positif,"Ekspresi gemas, positif"
'7502735991523115794,netral,Nanya waktu minum sebelum tidur
'7663494796829737749,negatif,Komplain harga beli lebih mahal dari yang lain
'7562549826153906960,netral,Jawaban warna produk
'7515625400706499348,netral,Nanya bisa untuk dewasa
'7624714435022652167,netral,"Cerita kemampuan bicara anak terbatas, netral"
'7668954660732896018,netral,Nanya varian usia 10 th
'7609283514869826312,negatif,"Khawatir BAB cair 5x sehari, konteks negatif"
'7428228619442766597,netral,Nanya dosis usia 5 th
'7526409993056109329,netral,Jawab warna produk
'7446706139721106194,netral,Info usia pakai dari brand
'7631541387406508821,netral,"Minta kemasan lebih besar, netral"
'7655997104581591828,positif,"Setuju sama komentar sebelumnya, positif"
'7549059633588405008,netral,Info harga beli
'7524744837104812801,negatif,Kesal beda hasil antara anak pertama-kedua dan ketiga
'7630740634126566151,netral,Nanya frekuensi minum
'7643376120406377234,netral,"Arahan brand ke CS, netral"
'7632366203415954193,netral,Jawaban singkat boleh
'7563493782974432001,netral,"Sama dgn komentar 106, saran netral"
'7590977737416180498,netral,Info usia pakai dari brand
'7538371169600553736,netral,Nanya bisa dipakai anak yang belum bicara
'7628425614105903893,positif,Emoji cinta doang
